sample,Sample Replacement,Sex,Animal ID,Treatment,Time Course,Sample type,PBMC number,Project name,Group
20210930_OCONNOR615_G011_06.RCC,A10013_preSIV_W-3,F,A10013,preSIV,W-3,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G012_07.RCC,A10013_preZIKV_D-13,F,A10013,preZIKV,D-13,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G013_08.RCC,A10013_SIV-ZIKV_D2,F,A10013,SIV-ZIKV,D2,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G014_09.RCC,A10013_SIV-ZIKV_D4,F,A10013,SIV-ZIKV,D4,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G015_10.RCC,A10013_SIV-ZIKV_D7,F,A10013,SIV-ZIKV,D7,PBMC,2x10^6,SG_OConnor_01,Group 1
20210923_OCONNOR3647_G044_09.RCC,A11230_preZIKV_D-13,F,A11230,preZIKV,D-13,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G045_10.RCC,A11230_ZIKV_D2,F,A11230,ZIKV,D2,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G046_11.RCC,A11230_ZIKV_D4,F,A11230,ZIKV,D4,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G047_12.RCC,A11230_ZIKV_D7,F,A11230,ZIKV,D7,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G036_01.RCC,L07201_preZIKV_D-12,F,L07201,preZIKV,D-12,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G037_02.RCC,L07201_ZIKV_D2,F,L07201,ZIKV,D2,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G038_03.RCC,L07201_ZIKV_D4,F,L07201,ZIKV,D4,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G039_04.RCC,L07201_ZIKV_D7,F,L07201,ZIKV,D7,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G040_05.RCC,Z08062_preZIKV_D-13,F,Z08062,preZIKV,D-13,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G041_06.RCC,Z08062_ZIKV_D2,F,Z08062,ZIKV,D2,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G042_07.RCC,Z08062_ZIKV_D4,F,Z08062,ZIKV,D4,PBMC,2x10^6,SG_OConnor_01,Group 2
20210923_OCONNOR3647_G043_08.RCC,Z08062_ZIKV_D7,F,Z08062,ZIKV,D7,PBMC,2x10^6,SG_OConnor_01,Group 2
20210929_OCONNOR606315_G001_05.RCC,Z12165_preSIV_W-3,F,Z12165,preSIV,W-3,PBMC,2x10^6,SG_OConnor_01,Group 1
20210929_OCONNOR606315_G002_06.RCC,Z12165_preZIKV_D-12,F,Z12165,preZIKV,D-12,PBMC,2x10^6,SG_OConnor_01,Group 1
20210929_OCONNOR606315_G003_07.RCC,Z12165_SIV-ZIKV_D2,F,Z12165,SIV-ZIKV,D2,PBMC,2x10^6,SG_OConnor_01,Group 1
20210929_OCONNOR606315_G004_08.RCC,Z12165_SIV-ZIKV_D4,F,Z12165,SIV-ZIKV,D4,PBMC,2x10^6,SG_OConnor_01,Group 1
20210929_OCONNOR606315_G005_09.RCC,Z12165_SIV-ZIKV_D7,F,Z12165,SIV-ZIKV,D7,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G006_01.RCC,Z13032_preSIV_W-3,F,Z13032,preSIV,W-3,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G007_02.RCC,Z13032_preZIKV_D-12,F,Z13032,preZIKV,D-12,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G008_03.RCC,Z13032_SIV-ZIKV_D2,F,Z13032,SIV-ZIKV,D2,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G009_04.RCC,Z13032_SIV-ZIKV_D4,F,Z13032,SIV-ZIKV,D4,PBMC,2x10^6,SG_OConnor_01,Group 1
20210930_OCONNOR615_G010_05.RCC,Z13032_SIV-ZIKV_D7,F,Z13032,SIV-ZIKV,D7,PBMC,2x10^6,SG_OConnor_01,Group 1
20210928_OCONNOR4859_G048_01.RCC,Z14176_preZIKV_D-14,M,Z14176,preZIKV,D-14,PBMC,1x10^6,SG_OConnor_01,Group 2
20210928_OCONNOR4859_G049_02.RCC,Z14176_ZIKV_D2,M,Z14176,ZIKV,D2,PBMC,1x10^6,SG_OConnor_01,Group 2
20210928_OCONNOR4859_G050_03.RCC,Z14176_ZIKV_D4,M,Z14176,ZIKV,D4,PBMC,1x10^6,SG_OConnor_01,Group 2
